Model,Target,RMSE,MAE,NSE,KGE,RMSE_lo,RMSE_hi,MAE_lo,MAE_hi
Persistence,DO (mg/L),0.3389,0.2655,0.86,0.93,0.3098,0.3678,0.2438,0.2848
Persistence,Temp (°C),1.3653,1.0736,0.861,0.93,1.2615,1.4727,0.9945,1.159
Climatology,DO (mg/L),0.3343,0.2712,0.87,0.853,0.2988,0.3692,0.2442,0.3009
Climatology,Temp (°C),1.4441,1.1604,0.852,0.884,1.2661,1.6018,1.0153,1.3061
Ridge Regression,DO (mg/L),0.3028,0.24,0.888,0.908,0.276,0.3304,0.2182,0.2625
Ridge Regression,Temp (°C),1.2612,1.0192,0.881,0.916,1.177,1.3548,0.9391,1.1091
LSTM (default),DO (mg/L),0.3052,0.2405,0.887,0.901,0.2791,0.3319,0.2197,0.2623
LSTM (default),Temp (°C),1.2696,1.0216,0.881,0.902,1.1708,1.3698,0.9363,1.1131
LSTM (best),DO (mg/L),0.3,0.2344,0.891,0.946,0.2686,0.3359,0.2118,0.2613
LSTM (best),Temp (°C),1.2737,1.0226,0.879,0.931,1.1714,1.3775,0.9316,1.1217
